scheme_code,scheme_name,status,rows_fetched,date_range
125497,SBI Small Cap Fund - Direct Plan - Growth,SUCCESS,3105,2013-11-18 to 2026-06-19
119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,SUCCESS,3250,2013-01-02 to 2026-06-19
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,SUCCESS,3321,2013-01-02 to 2026-06-19
118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,SUCCESS,3312,2013-01-02 to 2026-06-19
119092,HDFC Money Market Fund - Growth Option - Direct Plan,SUCCESS,3579,2012-12-31 to 2026-06-19
120841,quant Mid Cap Fund - Growth Option - Direct Plan,SUCCESS,3315,2013-01-07 to 2026-06-19
